"Suburb","avg_price","count","lat","lon"
"Donvale",1212423.07692308,13,-37.7897184615385,145.184607692308
"Doreen",566875,8,-37.59917125,145.11945125
"Doveton",499550,10,-37.992685,145.235053
"Eaglemont",1782640,25,-37.7634696,145.0602148
"East Melbourne",1390804.34782609,23,-37.8147495652174,144.985069565217
"Edithvale",953833.333333333,12,-38.0373241666667,145.118126666667
"Elsternwick",1275515.15151515,66,-37.8863574242424,145.006730909091
"Eltham",884277.777777778,27,-37.7117581481481,145.152939259259
"Eltham North",910108.357142857,14,-37.6989128571429,145.139951428571
"Elwood",932828.007092199,141,-37.8800817730496,144.987483404255
"Emerald",655000,1,-37.93064,145.4453
"Endeavour Hills",674555.555555556,9,-37.9762566666667,145.259275555556
"Epping",569626.923076923,65,-37.6398590769231,145.034201230769
"Essendon",1059861.11111111,234,-37.7498463675214,144.909251581197
"Essendon North",885711.538461538,26,-37.7389488461538,144.901437692308
"Essendon West",1082888.88888889,27,-37.752717037037,144.886273333333
"Fairfield",1043072.91666667,48,-37.7752583333333,145.018713541667
"Fawkner",649957.943925234,107,-37.7063727102804,144.968103084112
"Ferntree Gully",827325.565217391,23,-37.8846573913043,145.27530173913
"Fitzroy",1277833.33333333,66,-37.7983877272727,144.979960909091
"Fitzroy North",1272759.9009901,101,-37.7841077227723,144.982915643564
"Flemington",868227.272727273,66,-37.7844213636364,144.928734393939
"Footscray",690846.153846154,143,-37.7960625174825,144.892772027972
"Forest Hill",979460,25,-37.8385404,145.1722732
"Frankston",629509.259259259,27,-38.1480011111111,145.143711111111
"Frankston North",518000,5,-38.120938,145.153972
"Frankston South",1041157.89473684,19,-38.16622,145.120011578947
"Gardenvale",1126333.33333333,6,-37.898415,145.009905
"Gisborne",648625,8,-37.49732375,144.59270625
"Gladstone Park",655928.571428571,21,-37.6885819047619,144.89165047619
"Glen Huntly",704595.238095238,21,-37.8900680952381,145.042651904762
"Glen Iris",1594929.57746479,213,-37.8554504694836,145.065086338028
"Glen Waverley",1343027.21568627,51,-37.8845725490196,145.165268431373
"Glenroy",667867.767857143,168,-37.7032820833333,144.924814345238
"Gowanbrae",697540,25,-37.7053508,144.8971784
"Greensborough",830046.511627907,43,-37.7019697674419,145.105988837209
"Greenvale",759480,25,-37.6366848,144.895022
"Hadfield",690613.060606061,66,-37.7095265151515,144.94454030303
"Hallam",780900,5,-38.00273,145.269322
"Hampton",1665091.91176471,136,-37.9385682352941,145.009965147059
"Hampton East",1042370.37037037,27,-37.9387474074074,145.03090962963
"Hampton Park",577600,5,-38.035654,145.261594
"Hawthorn",1275526.19047619,210,-37.8225745714286,145.030676
"Hawthorn East",1492059.20930233,129,-37.8298375968992,145.051232945736
"Healesville",650000,1,-37.64685,145.52635
"Heathmont",926525,20,-37.829334,145.240982
"Heidelberg",923342.105263158,57,-37.7515178947368,145.067746842105
"Heidelberg Heights",761534.337349398,83,-37.7422419277108,145.052793975904
"Heidelberg West",650003.125,80,-37.74048775,145.041542625
"Highett",1201472.97297297,37,-37.9495751351351,145.037108108108
"Hillside",665590.384615385,26,-37.6929392307692,144.745706153846
"Hoppers Crossing",553310.909090909,55,-37.8682110909091,144.692090909091
"Hughesdale",1098631.57894737,38,-37.8992607894737,145.080875789474
"Huntingdale",988600,8,-37.90702625,145.1090675
"Hurstbridge",695000,2,-37.63763,145.20038
"Ivanhoe",1208432.43243243,111,-37.7657227927928,145.041801261261
"Ivanhoe East",1688310.34482759,29,-37.7736165517241,145.058917931034
"Jacana",524653.846153846,26,-37.6871942307692,144.911170384615
"Kealba",583263.157894737,19,-37.7353147368421,144.824814736842
"Keilor",812045.454545455,11,-37.7191309090909,144.829202727273
"Keilor Downs",681055.611111111,18,-37.7209894444444,144.806427222222
"Keilor East",812197.65625,128,-37.742015859375,144.865963984375
"Keilor Lodge",613333.333333333,3,-37.6988933333333,144.798686666667
"Keilor Park",672434.782608696,23,-37.7228639130435,144.857705652174
"Kensington",836598.359375,128,-37.79335375,144.927643828125
"Kew",1749020.10050251,199,-37.8049497487437,145.039383115578
"Kew East",1679472.22222222,54,-37.7938066666667,145.053340555556
"Keysborough",809636.363636364,11,-37.9939845454545,145.162651818182
"Kilsyth",758500,6,-37.8010366666667,145.315085
"Kings Park",548000,6,-37.733235,144.77661
"Kingsbury",727846.230769231,13,-37.7146161538462,145.034263846154
"Kingsville",828059.459459459,37,-37.8087945945946,144.88022
"Knoxfield",1008400,5,-37.880484,145.252096
"Kooyong",2185000,2,-37.842305,145.03403
"Kurunjang",362700,5,-37.668768,144.592566
"Lalor",645738.636363636,44,-37.6681179545455,145.018392272727
"Langwarrin",654583.333333333,6,-38.1539183333333,145.196011666667
"Laverton",590000,1,-37.86498,144.77406
"Lilydale",950000,1,-37.74879,145.36947
"Lower Plenty",821571.428571429,7,-37.7261028571429,145.116372857143
"Maidstone",711193.87755102,98,-37.784626122449,144.874857755102
"Malvern",1774486.84210526,76,-37.8585156578947,145.035353684211
"Malvern East",1552388.81395349,129,-37.8756026356589,145.060918139535
